ID,Age,Age points,Age group,Sex,Job,Job points,Housing,Housing points,Saving accounts,Saving points,Checking account,Checking points,Credit amount,Credit points,Duration,Duration points,Purpose,Total score,Risk
75,66,30,41-75,male,3,30,free,5,little,10,little,10,1526,30,12,20,car,135,Medium risk
76,34,20,25-40,male,2,20,own,20,little,10,little,10,3965,15,42,10,radio/TV,105,Medium risk
77,51,30,41-75,male,2,20,own,20,little,10,moderate,20,4771,15,11,20,radio/TV,135,Medium risk
78,39,20,25-40,male,1,10,own,20,NA,5,NA,5,9436,15,54,5,car,80,High risk
79,22,10,<25,male,2,20,own,20,little,10,moderate,20,3832,15,30,10,furniture/equipment,105,Medium risk
80,44,30,41-75,female,2,20,own,20,NA,5,NA,5,5943,15,24,10,radio/TV,105,Medium risk
81,47,30,41-75,male,2,20,own,20,quite rich,30,NA,5,1213,30,15,10,radio/TV,145,Low risk
82,24,10,<25,female,1,10,rent,10,moderate,15,NA,5,1568,30,18,10,business,90,High risk
83,58,30,41-75,female,1,10,own,20,little,10,little,10,1755,30,24,10,vacation/others,120,Medium risk
84,52,30,41-75,male,1,10,own,20,little,10,little,10,2315,30,10,20,radio/TV,130,Medium risk
85,29,20,25-40,female,3,30,own,20,little,10,NA,5,1412,30,12,20,business,135,Medium risk
86,27,20,25-40,female,2,20,own,20,little,10,moderate,20,1295,30,18,10,furniture/equipment,130,Medium risk
87,47,30,41-75,male,2,20,free,5,moderate,15,moderate,20,12612,5,36,10,education,105,Medium risk
88,30,20,25-40,male,3,30,own,20,moderate,15,little,10,2249,30,18,10,car,135,Medium risk
89,28,20,25-40,male,2,20,own,20,little,10,little,10,1108,30,12,20,repairs,130,Medium risk
90,56,30,41-75,male,2,20,own,20,little,10,NA,5,618,30,12,20,radio/TV,135,Medium risk
91,54,30,41-75,male,2,20,own,20,little,10,little,10,1409,30,12,20,car,140,Low risk
92,33,20,25-40,female,1,10,own,20,NA,5,NA,5,797,30,12,20,radio/TV,110,Medium risk
93,20,10,<25,male,2,20,rent,10,NA,5,rich,30,3617,15,24,10,furniture/equipment,100,High risk
94,54,30,41-75,male,2,20,own,20,rich,20,moderate,20,1318,30,12,20,car,160,Low risk
95,58,30,41-75,male,2,20,rent,10,little,10,moderate,20,15945,5,54,5,business,100,High risk
96,61,30,41-75,female,2,20,own,20,NA,5,NA,5,2012,30,12,20,education,130,Medium risk
97,34,20,25-40,male,2,20,own,20,moderate,15,moderate,20,2622,30,18,10,business,135,Medium risk
98,36,20,25-40,male,2,20,own,20,little,10,moderate,20,2337,30,36,10,radio/TV,130,Medium risk
99,36,20,25-40,male,3,30,rent,10,NA,5,moderate,20,7057,15,20,10,car,110,Medium risk
100,41,30,41-75,male,1,10,rent,10,moderate,15,NA,5,1469,30,24,10,car,110,Medium risk
101,24,10,<25,male,2,20,rent,10,little,10,moderate,20,2323,30,36,10,radio/TV,110,Medium risk
102,24,10,<25,female,2,20,own,20,little,10,NA,5,932,30,6,20,radio/TV,115,Medium risk
103,35,20,25-40,male,2,20,rent,10,little,10,moderate,20,1919,30,9,20,furniture/equipment,130,Medium risk
104,26,20,25-40,male,2,20,rent,10,NA,5,NA,5,2445,30,12,20,car,110,Medium risk
105,39,20,25-40,male,3,30,own,20,little,10,moderate,20,11938,5,24,10,vacation/others,115,Medium risk
106,39,20,25-40,male,3,30,own,20,little,10,NA,5,6458,15,18,10,car,110,Medium risk
107,32,20,25-40,male,2,20,own,20,little,10,moderate,20,6078,15,12,20,car,125,Medium risk
108,30,20,25-40,female,2,20,own,20,NA,5,little,10,7721,15,24,10,furniture/equipment,100,High risk
109,35,20,25-40,male,2,20,own,20,quite rich,30,moderate,20,1410,30,14,10,business,150,Low risk
110,31,20,25-40,male,2,20,own,20,moderate,15,moderate,20,1449,30,6,20,business,145,Low risk
111,23,10,<25,female,2,20,rent,10,little,10,rich,30,392,30,15,10,education,120,Medium risk
112,28,20,25-40,male,1,10,rent,10,little,10,moderate,20,6260,15,18,10,car,95,High risk
113,25,20,25-40,female,2,20,own,20,little,10,NA,5,7855,15,36,10,car,100,High risk
114,35,20,25-40,male,2,20,own,20,quite rich,30,little,10,1680,30,12,20,radio/TV,150,Low risk
115,47,30,41-75,male,2,20,own,20,NA,5,NA,5,3578,15,48,10,radio/TV,105,Medium risk
116,30,20,25-40,female,3,30,own,20,NA,5,little,10,7174,15,42,10,radio/TV,110,Medium risk
117,27,20,25-40,female,2,20,rent,10,NA,5,little,10,2132,30,10,20,furniture/equipment,115,Medium risk
118,23,10,<25,female,2,20,own,20,quite rich,30,little,10,4281,15,33,10,furniture/equipment,115,Medium risk
119,36,20,25-40,male,3,30,own,20,quite rich,30,moderate,20,2366,30,12,20,car,170,Low risk
120,25,20,25-40,female,2,20,own,20,little,10,little,10,1835,30,21,10,radio/TV,120,Medium risk
121,41,30,41-75,female,3,30,rent,10,little,10,NA,5,3868,15,24,10,car,110,Medium risk
122,24,10,<25,male,1,10,rent,10,little,10,NA,5,1768,30,12,20,furniture/equipment,95,High risk
123,63,30,41-75,male,2,20,free,5,little,10,rich,30,781,30,10,20,car,145,Low risk
124,27,20,25-40,female,2,20,rent,10,NA,5,moderate,20,1924,30,18,10,furniture/equipment,115,Medium risk
125,30,20,25-40,male,2,20,own,20,little,10,little,10,2121,30,12,20,car,130,Medium risk
126,40,30,25-40,male,1,10,own,20,little,10,little,10,701,30,12,20,radio/TV,130,Medium risk
127,30,20,25-40,male,2,20,own,20,little,10,moderate,20,639,30,12,20,repairs,140,Low risk
128,34,20,25-40,male,3,30,own,20,little,10,moderate,20,1860,30,12,20,car,150,Low risk
129,29,20,25-40,female,2,20,own,20,little,10,little,10,3499,15,12,20,car,115,Medium risk
130,24,10,<25,female,2,20,own,20,NA,5,moderate,20,8487,15,48,10,car,100,High risk
131,29,20,25-40,male,2,20,own,20,little,10,little,10,6887,15,36,10,education,105,Medium risk
132,27,20,25-40,male,1,10,own,20,little,10,NA,5,2708,30,15,10,furniture/equipment,105,Medium risk
133,47,30,41-75,male,2,20,free,5,little,10,NA,5,1984,30,18,10,furniture/equipment,110,Medium risk
134,21,10,<25,female,2,20,own,20,moderate,15,NA,5,10144,5,60,5,radio/TV,80,High risk
135,38,20,25-40,female,2,20,own,20,NA,5,NA,5,1240,30,12,20,radio/TV,120,Medium risk
136,27,20,25-40,male,2,20,own,20,rich,20,NA,5,8613,15,27,10,car,110,Medium risk
137,66,30,41-75,male,1,10,own,20,quite rich,30,moderate,20,766,30,12,20,radio/TV,160,Low risk
138,35,20,25-40,male,2,20,own,20,NA,5,moderate,20,2728,30,15,10,radio/TV,125,Medium risk
139,44,30,41-75,female,1,10,rent,10,little,10,rich,30,1881,30,12,20,radio/TV,140,Low risk
140,27,20,25-40,male,0,5,own,20,rich,20,rich,30,709,30,6,20,car,145,Low risk
141,30,20,25-40,female,3,30,own,20,little,10,moderate,20,4795,15,36,10,radio/TV,125,Medium risk
142,27,20,25-40,male,3,30,own,20,little,10,little,10,3416,15,27,10,radio/TV,115,Medium risk
143,22,10,<25,male,2,20,own,20,little,10,little,10,2462,30,18,10,furniture/equipment,110,Medium risk
144,23,10,<25,female,2,20,own,20,little,10,NA,5,2288,30,21,10,furniture/equipment,105,Medium risk
145,30,20,25-40,male,2,20,own,20,moderate,15,moderate,20,3566,15,48,10,business,120,Medium risk
146,39,20,25-40,female,2,20,own,20,little,10,little,10,860,30,6,20,car,130,Medium risk
147,51,30,41-75,female,2,20,own,20,moderate,15,NA,5,682,30,12,20,car,140,Low risk
148,28,20,25-40,male,2,20,own,20,little,10,little,10,5371,15,36,10,furniture/equipment,105,Medium risk
149,46,30,41-75,male,2,20,own,20,rich,20,NA,5,1582,30,18,10,radio/TV,135,Medium risk
150,42,30,41-75,male,2,20,free,5,moderate,15,NA,5,1346,30,6,20,radio/TV,125,Medium risk
151,38,20,25-40,male,2,20,own,20,little,10,NA,5,1924,30,10,20,radio/TV,125,Medium risk
152,24,10,<25,male,2,20,own,20,little,10,rich,30,5848,15,36,10,radio/TV,115,Medium risk
153,29,20,25-40,female,2,20,rent,10,rich,20,moderate,20,7758,15,24,10,car,115,Medium risk
154,36,20,25-40,male,3,30,rent,10,moderate,15,moderate,20,6967,15,24,10,business,120,Medium risk
155,20,10,<25,female,2,20,rent,10,little,10,little,10,1282,30,12,20,furniture/equipment,110,Medium risk
156,48,30,41-75,male,2,20,own,20,moderate,15,little,10,1288,30,9,20,repairs,145,Low risk
157,45,30,41-75,male,1,10,own,20,little,10,little,10,339,30,12,20,education,130,Medium risk
158,38,20,25-40,male,2,20,own,20,moderate,15,moderate,20,3512,15,24,10,car,120,Medium risk
159,34,20,25-40,male,1,10,own,20,NA,5,NA,5,1898,30,6,20,radio/TV,110,Medium risk
160,36,20,25-40,male,2,20,own,20,moderate,15,NA,5,2872,30,24,10,radio/TV,120,Medium risk
161,30,20,25-40,female,2,20,own,20,little,10,NA,5,1055,30,18,10,car,115,Medium risk
162,36,20,25-40,male,2,20,own,20,quite rich,30,NA,5,1262,30,15,10,domestic appliances,135,Medium risk
163,70,30,41-75,male,3,30,free,5,little,10,moderate,20,7308,15,10,20,car,130,Medium risk
164,36,20,25-40,male,2,20,own,20,quite rich,30,NA,5,909,30,36,10,car,135,Medium risk
165,32,20,25-40,male,2,20,own,20,quite rich,30,NA,5,2978,30,6,20,furniture/equipment,145,Low risk
166,33,20,25-40,female,2,20,own,20,little,10,little,10,1131,30,18,10,furniture/equipment,120,Medium risk
167,20,10,<25,female,2,20,own,20,rich,20,moderate,20,1577,30,11,20,furniture/equipment,140,Low risk
168,25,20,25-40,female,2,20,rent,10,little,10,NA,5,3972,15,24,10,furniture/equipment,90,High risk
169,31,20,25-40,male,2,20,own,20,little,10,moderate,20,1935,30,24,10,business,130,Medium risk
170,33,20,25-40,male,2,20,rent,10,little,10,little,10,950,30,15,10,car,110,Medium risk
171,26,20,25-40,female,2,20,own,20,little,10,NA,5,763,30,12,20,furniture/equipment,125,Medium risk
172,34,20,25-40,female,3,30,own,20,little,10,moderate,20,2064,30,24,10,furniture/equipment,140,Low risk
173,33,20,25-40,male,2,20,own,20,little,10,moderate,20,1414,30,8,20,radio/TV,140,Low risk
174,26,20,25-40,male,2,20,own,20,little,10,little,10,3414,15,21,10,education,105,Medium risk
175,53,30,41-75,female,3,30,own,20,NA,5,NA,5,7485,15,30,10,car,115,Medium risk
176,42,30,41-75,male,2,20,own,20,little,10,little,10,2577,30,12,20,furniture/equipment,140,Low risk
177,52,30,41-75,male,2,20,own,20,quite rich,30,little,10,338,30,6,20,radio/TV,160,Low risk
178,31,20,25-40,male,3,30,rent,10,little,10,NA,5,1963,30,12,20,radio/TV,125,Medium risk
179,65,30,41-75,male,2,20,own,20,little,10,little,10,571,30,21,10,car,130,Medium risk
180,28,20,25-40,male,2,20,own,20,little,10,NA,5,9572,15,36,10,business,100,High risk
181,30,20,25-40,male,3,30,own,20,little,10,moderate,20,4455,15,36,10,business,125,Medium risk
182,40,30,25-40,male,1,10,own,20,NA,5,little,10,1647,30,21,10,car,115,Medium risk
183,50,30,41-75,male,2,20,own,20,rich,20,NA,5,3777,15,24,10,furniture/equipment,120,Medium risk
184,36,20,25-40,male,2,20,own,20,little,10,moderate,20,884,30,18,10,car,130,Medium risk
185,31,20,25-40,male,2,20,own,20,little,10,NA,5,1360,30,15,10,radio/TV,115,Medium risk
186,74,30,41-75,female,3,30,free,5,little,10,moderate,20,5129,15,9,20,car,130,Medium risk
187,68,30,41-75,male,0,5,free,5,little,10,moderate,20,1175,30,16,10,car,110,Medium risk
188,20,10,<25,male,2,20,own,20,moderate,15,little,10,674,30,12,20,radio/TV,125,Medium risk
189,33,20,25-40,female,2,20,own,20,little,10,moderate,20,3244,15,18,10,furniture/equipment,115,Medium risk
190,54,30,41-75,male,3,30,own,20,rich,20,NA,5,4591,15,24,10,business,130,Medium risk
191,34,20,25-40,male,1,10,free,5,moderate,15,moderate,20,3844,15,48,10,business,95,High risk
192,36,20,25-40,male,2,20,own,20,little,10,moderate,20,3915,15,27,10,business,115,Medium risk
193,29,20,25-40,male,2,20,rent,10,little,10,NA,5,2108,30,6,20,radio/TV,115,Medium risk
194,21,10,<25,male,2,20,rent,10,moderate,15,moderate,20,3031,15,45,10,radio/TV,100,High risk
195,34,20,25-40,female,3,30,own,20,little,10,moderate,20,1501,30,9,20,education,150,Low risk
196,28,20,25-40,female,2,20,own,20,little,10,NA,5,1382,30,6,20,radio/TV,125,Medium risk
197,27,20,25-40,female,2,20,rent,10,moderate,15,moderate,20,951,30,12,20,furniture/equipment,135,Medium risk
198,36,20,25-40,male,2,20,free,5,NA,5,moderate,20,2760,30,24,10,car,110,Medium risk
199,40,30,25-40,male,3,30,own,20,little,10,moderate,20,4297,15,18,10,furniture/equipment,135,Medium risk
200,52,30,41-75,male,2,20,own,20,quite rich,30,NA,5,936,30,9,20,education,155,Low risk
201,27,20,25-40,male,1,10,own,20,little,10,little,10,1168,30,12,20,car,120,Medium risk
202,26,20,25-40,male,2,20,own,20,little,10,NA,5,5117,15,27,10,business,100,High risk
203,21,10,<25,male,2,20,rent,10,little,10,little,10,902,30,12,20,education,110,Medium risk
204,38,20,25-40,male,1,10,own,20,little,10,NA,5,1495,30,12,20,car,115,Medium risk
205,38,20,25-40,male,3,30,free,5,little,10,little,10,10623,5,30,10,car,90,High risk
206,43,30,41-75,male,2,20,own,20,little,10,NA,5,1935,30,12,20,furniture/equipment,135,Medium risk
207,26,20,25-40,male,2,20,own,20,little,10,moderate,20,1424,30,12,20,domestic appliances,140,Low risk
208,21,10,<25,male,1,10,own,20,little,10,little,10,6568,15,24,10,business,85,High risk
209,55,30,41-75,male,2,20,own,20,rich,20,NA,5,1413,30,12,20,car,145,Low risk
210,33,20,25-40,male,2,20,own,20,NA,5,NA,5,3074,15,9,20,radio/TV,105,Medium risk
211,45,30,41-75,female,1,10,own,20,NA,5,NA,5,3835,15,36,10,radio/TV,95,High risk
212,50,30,41-75,male,2,20,own,20,little,10,little,10,5293,15,27,10,business,115,Medium risk
213,66,30,41-75,male,3,30,own,20,little,10,rich,30,1908,30,30,10,business,160,Low risk
214,51,30,41-75,male,2,20,own,20,NA,5,NA,5,3342,15,36,10,radio/TV,105,Medium risk
215,39,20,25-40,female,1,10,own,20,NA,5,moderate,20,932,30,6,20,education,125,Medium risk
216,31,20,25-40,male,2,20,own,20,little,10,little,10,3104,15,18,10,business,105,Medium risk
217,23,10,<25,male,2,20,own,20,little,10,rich,30,3913,15,36,10,radio/TV,115,Medium risk
218,24,10,<25,male,1,10,rent,10,little,10,little,10,3021,15,24,10,furniture/equipment,75,High risk
219,64,30,41-75,female,2,20,own,20,little,10,NA,5,1364,30,10,20,car,135,Medium risk
220,26,20,25-40,male,1,10,own,20,little,10,moderate,20,625,30,12,20,radio/TV,130,Medium risk
221,23,10,<25,female,2,20,rent,10,NA,5,little,10,1200,30,12,20,education,105,Medium risk
222,30,20,25-40,male,2,20,own,20,little,10,NA,5,707,30,12,20,radio/TV,125,Medium risk
223,32,20,25-40,male,2,20,own,20,NA,5,NA,5,2978,30,24,10,business,110,Medium risk
224,30,20,25-40,male,2,20,own,20,little,10,NA,5,4657,15,15,10,car,100,High risk
225,27,20,25-40,male,2,20,own,20,little,10,NA,5,2613,30,36,10,repairs,115,Medium risk
226,27,20,25-40,male,2,20,own,20,rich,20,moderate,20,10961,5,48,10,radio/TV,115,Medium risk
227,53,30,41-75,male,3,30,free,5,little,10,little,10,7865,15,12,20,furniture/equipment,120,Medium risk
228,22,10,<25,male,2,20,own,20,little,10,NA,5,1478,30,9,20,radio/TV,115,Medium risk
229,22,10,<25,male,2,20,free,5,little,10,little,10,3149,15,24,10,furniture/equipment,80,High risk
230,26,20,25-40,male,2,20,own,20,little,10,rich,30,4210,15,36,10,radio/TV,125,Medium risk
231,51,30,41-75,male,1,10,free,5,quite rich,30,NA,5,2507,30,9,20,car,130,Medium risk
232,35,20,25-40,male,2,20,own,20,moderate,15,NA,5,2141,30,12,20,radio/TV,130,Medium risk
233,25,20,25-40,male,1,10,own,20,little,10,moderate,20,866,30,18,10,radio/TV,120,Medium risk
234,42,30,41-75,male,1,10,own,20,little,10,NA,5,1544,30,4,20,radio/TV,125,Medium risk
235,30,20,25-40,male,3,30,own,20,little,10,little,10,1823,30,24,10,radio/TV,130,Medium risk
236,23,10,<25,male,0,5,own,20,NA,5,moderate,20,14555,5,6,20,car,85,High risk
237,61,30,41-75,male,1,10,rent,10,moderate,15,moderate,20,2767,30,21,10,business,125,Medium risk
238,35,20,25-40,female,2,20,own,20,little,10,NA,5,1291,30,12,20,radio/TV,125,Medium risk
239,39,20,25-40,male,2,20,own,20,little,10,little,10,2522,30,30,10,radio/TV,120,Medium risk
240,29,20,25-40,female,2,20,own,20,NA,5,little,10,915,30,24,10,car,115,Medium risk
241,51,30,41-75,male,2,20,own,20,little,10,NA,5,1595,30,6,20,radio/TV,135,Medium risk
242,24,10,<25,male,2,20,free,5,little,10,little,10,4605,15,48,10,car,80,High risk
243,27,20,25-40,female,2,20,own,20,little,10,NA,5,1185,30,12,20,business,125,Medium risk
244,35,20,25-40,female,1,10,own,20,quite rich,30,NA,5,3447,15,12,20,education,120,Medium risk
245,25,20,25-40,male,2,20,own,20,little,10,NA,5,1258,30,24,10,business,115,Medium risk
246,52,30,41-75,male,2,20,own,20,little,10,NA,5,717,30,12,20,radio/TV,135,Medium risk
247,35,20,25-40,male,2,20,rent,10,moderate,15,NA,5,1204,30,6,20,car,120,Medium risk
248,26,20,25-40,male,2,20,own,20,little,10,rich,30,1925,30,24,10,furniture/equipment,140,Low risk
249,22,10,<25,female,2,20,rent,10,little,10,NA,5,433,30,18,10,radio/TV,95,High risk
250,39,20,25-40,female,1,10,own,20,rich,20,little,10,666,30,6,20,car,130,Medium risk
251,46,30,41-75,female,1,10,own,20,little,10,rich,30,2251,30,12,20,furniture/equipment,150,Low risk
252,24,10,<25,female,2,20,own,20,little,10,moderate,20,2150,30,30,10,car,120,Medium risk
253,35,20,25-40,male,2,20,own,20,moderate,15,NA,5,4151,15,24,10,furniture/equipment,105,Medium risk
254,24,10,<25,male,2,20,own,20,NA,5,moderate,20,2030,30,9,20,furniture/equipment,125,Medium risk
255,27,20,25-40,male,1,10,own,20,NA,5,moderate,20,7418,15,60,5,radio/TV,95,High risk
256,35,20,25-40,male,1,10,own,20,little,10,NA,5,2684,30,24,10,radio/TV,105,Medium risk
257,29,20,25-40,male,2,20,free,5,little,10,little,10,2149,30,12,20,radio/TV,115,Medium risk
258,23,10,<25,female,2,20,own,20,moderate,15,NA,5,3812,15,15,10,car,95,High risk
259,57,30,41-75,female,1,10,own,20,moderate,15,NA,5,1154,30,11,20,radio/TV,130,Medium risk
260,27,20,25-40,male,2,20,own,20,little,10,little,10,1657,30,12,20,furniture/equipment,130,Medium risk
261,55,30,41-75,female,2,20,own,20,little,10,little,10,1603,30,24,10,radio/TV,130,Medium risk
262,36,20,25-40,male,3,30,free,5,little,10,little,10,5302,15,18,10,car,100,High risk
263,57,30,41-75,female,1,10,free,5,little,10,NA,5,2748,30,12,20,education,110,Medium risk
264,32,20,25-40,male,1,10,own,20,little,10,NA,5,1231,30,10,20,car,115,Medium risk
265,37,20,25-40,male,2,20,own,20,little,10,moderate,20,802,30,15,10,radio/TV,130,Medium risk
266,36,20,25-40,male,2,20,own,20,NA,5,NA,5,6304,15,36,10,business,95,High risk
267,38,20,25-40,female,2,20,own,20,little,10,NA,5,1533,30,24,10,radio/TV,115,Medium risk
268,45,30,41-75,male,3,30,own,20,little,10,little,10,8978,15,14,10,car,125,Medium risk
269,25,20,25-40,male,2,20,own,20,NA,5,NA,5,999,30,24,10,radio/TV,110,Medium risk
270,32,20,25-40,male,2,20,own,20,NA,5,NA,5,2662,30,18,10,car,110,Medium risk
271,37,20,25-40,female,2,20,rent,10,quite rich,30,NA,5,1402,30,12,20,furniture/equipment,135,Medium risk
272,36,20,25-40,male,3,30,free,5,NA,5,moderate,20,12169,5,48,10,car,95,High risk
